kode,nama_bahan,air,energi,protein,lemak,kh,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,gula,kategori,sumber
AO033,Baruasa,5.3,417.0,6.5,8.2,79.3,,0.7,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO034,Batar daan,75.3,107.0,2.2,2.2,19.6,,0.7,20.0,30.0,0.6,,90.0,0.1,,,,,0.18,0.02,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO035,Bika ambon,51.5,199.0,2.1,1.5,44.4,0.3,0.6,45.0,28.0,1.8,,,,,0.0,,408.0,0.1,,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO036,Bingka,44.4,273.0,5.3,10.6,39.1,,0.6,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO037,Bobengka,46.3,225.0,5.3,2.6,45.2,,0.6,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO038,Bolu peca,55.6,197.0,3.3,4.6,35.6,,0.9,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO039,Brem,37.4,249.0,3.4,0.4,58.0,0.0,0.9,198.0,86.0,2.0,,,,,0.0,,240.0,0.34,0.0,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO040,"Bubur tinotuan
(Manado)",80.9,156.0,2.3,0.2,15.6,8.2,1.0,41.0,20.0,0.4,486.0,164.0,0.3,0.4,,1437.0,,0.1,0.04,,15.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO041,Cake tape,32.2,323.0,4.9,11.5,50.1,1.4,1.4,131.0,83.0,2.6,,,,,26.0,,1872.0,0.38,0.16,0.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO042,Cangkuning,57.5,204.0,2.8,7.5,31.4,,0.8,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
