KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
GO030,"Ikan Pindang selar,
mentah",60.0,142,27.0,3.0,0.0,0.0,10.0,60,200,3.0,,,,,61,,,0.07,,,0,0
GO031,"Ikan sale, mentah",8.5,534,40.2,39.3,4.9,2.0,7.1,199,1244,2.7,673,673.0,0.30,2.6,,410,0.0,0.02,0.50,0.0,0,0
GO032,"Ikan sale lais, mentah",12.4,415,61.3,17.6,2.9,0.0,5.8,258,919,7.0,381,488.0,17.60,1.0,0,,0.0,0.03,0.10,17.3,0,0
GO033,"Ikan saluang, kering,
mentah",33.6,284,34.1,9.9,14.6,0.0,7.8,1426,1103,9.5,1767,263.0,1.30,18.7,,,,0.49,0.03,,,0
GO034,"Ikan sanggang,
masakan",42.6,240,21.7,7.7,20.7,,7.3,159,362,9.8,2041,159.0,1.50,8.8,,,,0.51,0.02,,,0
GO035,"Ikan selar kuning, cue,
mentah",59.0,138,27.0,3.3,0.0,0.0,0.7,50,100,2.0,,,,,45,,,0.10,,,0,0
GO036,"Ikan selar, kering,
mentah",43.0,194,38.0,3.5,0.0,0.0,15.5,20,200,1.0,,,,,0,0,,0.01,,,0,0
GO037,"Ikan sepat, kering,
mentah",30.0,289,38.0,14.0,0.0,0.0,18.0,40,100,0.7,,,,,0,0,,0.00,,,0,0
GO038,"Ikan sunu, asin,
mentah",34.7,199,34.1,3.8,7.1,,20.3,94,92,2.2,377,57.0,0.10,3.2,2481,,,1.50,0.13,7.2,,0
GO039,"Ikan, tepung, mentah",4.3,316,60.1,6.5,22.4,0.0,6.7,3196,1976,16.6,,,,,320,0,0.0,0.00,,,0,0
GO040,"Ikan Teri nasi, kering,
mentah",34.5,144,32.5,0.6,0.0,0.0,32.4,1000,1000,3.0,312,,,,61,,,0.10,,,0,0
GO041,"Ikan Teri, bubuk,
mentah",15.0,277,60.0,2.3,1.8,0.0,20.9,1209,1225,3.0,,,,,90,,,0.10,,,0,0
GO042,"Ikan teri, kering,
mentah",37.8,170,33.4,3.0,0.0,0.0,25.8,1200,1500,3.6,,,,,64,,,0.15,,,0,0
GO043,"Ikan Teri, kering,
tawar, mentah",16.7,331,68.7,4.2,0.0,0.0,10.4,2381,1500,23.4,,,,,61,,,0.10,,,0,0
GO044,"Ikan Teri, tepung,
mentah",5.2,347,48.8,6.4,19.6,0.0,20.0,4608,1200,18.6,,,,,61,0,130.0,1.12,,,0,0
GO045,"Kerang, asap, mentah",9.3,393,38.9,13.3,29.4,,9.1,420,410,8.5,160,50.0,0.60,3.7,,,,0.30,1.70,0.2,,0
GO046,"Kerang, dendeng,
mentah",18.3,357,41.1,10.0,25.6,0.0,5.0,217,904,5.2,,,,,0,,329.0,0.27,,,0,0
GO047,"Rebon, kering, mentah",21.6,299,59.4,3.6,3.2,0.0,12.2,2306,625,21.4,,,,,0,0,,0.06,,,0,0
GO048,"Rebung laut, mentah",18.2,320,7.2,4.2,63.3,,7.1,240,570,6.6,20,1040.0,1.50,6.2,917,,,0.00,0.00,4.9,,0
